pageviews	time_on_page	stories	comments	ratings	newsletters	nationality	manipulation_level	visitor_session_id
1	15	0	0	0	NA	Colombia	all	3266
3	92.0	0	0	0	NA	Colombia	all	3267
1	15	0	0	0	NA	Ecuador	all	3268
1	15	0	0	0	NA	Colombia	local	3269
1	15	0	0	0	NA	México	local	3270
1	15	0	0	0	NA	Colombia	local	3274
2	1.0	0	0	0	NA	México	local	3275
1	15	0	0	0	NA	México	local	3276
2	34.0	0	0	0	NA	Bolivia	all	3277
1	15	0	0	0	NA	México	all	3278
1	15	0	0	0	NA	Colombia	local	3279
47	5449.0	0	3	9	NA	Colombia	all	3280
15	1245.0	0	2	1	NA	Argentina	local	3281
3	111.0	0	0	0	NA	España	all	3283
7	71.0	0	0	0	NA	España	all	3284
1	15	0	0	0	NA	Perú	all	3285
1	15	0	0	0	NA	Chile	all	3286
1	15	0	0	0	NA	Venezuela	local	3287
2	91.0	0	0	0	NA	Bolivia	all	3288
1	15	0	0	0	NA	Bolivia	local	3289
2	9.0	0	0	0	NA	República Dominicana	local	3290
2	73.0	0	0	0	NA	Bolivia	local	3291
3	34.0	0	0	0	NA	Perú	local	3292
3	86.0	0	0	0	NA	Argentina	local	3293
1	15	0	0	0	NA	Venezuela	local	3295
6	347.0	0	0	1	NA	Nicaragua	local	3296
3	129.0	0	0	0	NA	Estados Unidos	all	3297
5	201.0	0	0	0	NA	Chile	local	3298
1	15	0	0	0	NA	España	all	3299
2	27.0	0	0	0	NA	Perú	local	3300
6	720.0	0	1	1	NA	México	all	3301
2	14.0	0	0	0	NA	Francia	local	3302
5	67.0	0	0	0	NA	Ecuador	local	3303
3	1108.0	0	1	0	NA	Estados Unidos	all	3304
2	25.0	0	0	0	NA	España	local	3305
3	101.0	0	0	0	NA	México	local	3306
1	15	0	0	0	NA	Perú	local	3308
1	15	0	0	0	NA	Chile	all	3309
7	41.0	0	0	1	NA	Chile	all	3310
1	15	0	0	0	NA	República Dominicana	all	3311
1	15	0	0	0	NA	Colombia	all	3312
1	15	0	0	0	NA	Venezuela	all	3313
1	15	0	0	0	NA	Nicaragua	all	3314
2	71.0	0	0	0	NA	República Dominicana	local	3315
3	66.0	0	0	0	NA	México	all	3316
2	42.0	0	0	0	NA	Perú	all	3317
12	1890.0	0	2	1	NA	Guatemala	all	3319
1	15	0	0	0	NA	México	all	3322
3	275.0	0	0	0	NA	Estados Unidos	all	3323
1	15	0	0	0	NA	Bolivia	all	3324
5	351.0	0	0	0	NA	Colombia	local	3325
1	15	0	0	0	NA	Perú	all	3326
1	15	0	0	0	NA	El Salvador	local	3327
2	147.0	0	0	0	NA	Perú	all	3328
5	84.0	0	0	0	NA	Estados Unidos	all	3329
3	37.0	0	0	0	NA	Argentina	all	3330
2	51.0	0	0	0	NA	México	local	3331
44	2676.0	0	0	0	NA	Colombia	all	3332
1	15	0	0	0	NA	Perú	all	3333
1	15	0	0	0	NA	Argentina	local	3334
3	159.0	0	0	0	NA	Perú	all	3335
1	15	0	0	0	NA	Colombia	all	3336
3	68.0	0	0	0	NA	Perú	all	3337
3	415.0	0	0	0	NA	Estados Unidos	local	3338
1	15	0	0	0	NA	México	local	3339
22	2521.0	1	0	0	NA	Perú	local	3340
1	15	0	0	0	NA	Perú	local	3342
3	74.0	0	0	0	NA	Perú	all	3343
4	120.0	0	0	1	NA	España	local	3345
4	223.0	0	0	1	NA	Chile	all	3349
1	15	0	0	0	NA	México	all	3353
1	15	0	0	0	NA	Colombia	all	3354
1	15	0	0	0	NA	Bolivia	local	3355
2	1350.0	0	0	0	NA	Bolivia	local	3356
1	15	0	0	0	NA	Perú	local	3357
5	43.0	0	0	0	NA	México	all	3358
3	143.0	0	0	0	NA	Estados Unidos	local	3359
3	117.0	0	0	2	NA	México	local	3360
3	30.0	0	0	0	NA	Colombia	local	3362
1	15	0	0	0	NA	Perú	all	3366
3	18.0	0	0	0	NA	México	all	3368
1	15	0	0	0	NA	Uruguay	all	3369
4	207.0	0	0	0	NA	Perú	all	3370
1	15	0	0	0	NA	Chile	all	3372
1	15	0	0	0	NA	México	all	3373
1	15	0	0	0	NA	Colombia	local	3375
1	15	0	0	0	NA	Argentina	local	3376
2	45.0	0	0	1	NA	Perú	local	3377
1	15	0	0	0	NA	Colombia	local	3378
1	15	0	0	0	NA	Perú	all	3379
1	15	0	0	0	NA	México	local	3380
1	15	0	0	0	NA	México	all	3381
2	42.0	0	0	0	NA	Chile	local	3383
1	15	0	0	0	NA	Estados Unidos	local	3385
1	15	0	0	0	NA	Colombia	local	3386
6	172.0	0	1	2	NA	México	all	3388
11	1021.0	0	1	1	NA	México	local	3389
1	15	0	0	0	NA	México	local	3390
1	15	0	0	0	NA	México	all	3391
2	68.0	0	0	1	NA	México	all	3392
1	15	0	0	0	NA	Perú	all	3393
7	1044.0	0	0	0	NA	Bolivia	local	3395
1	15	0	0	0	NA	Perú	local	3396
1	15	0	0	0	NA	Argentina	all	3397
1	15	0	0	0	NA	Colombia	local	3398
1	15	0	0	0	NA	Estados Unidos	all	3399
1	15	0	0	0	NA	Chile	all	3400
1	15	0	0	0	NA	México	all	3401
3	108.0	0	0	0	NA	Estados Unidos	local	3402
11	918.0	0	0	0	NA	Perú	local	3403
1	15	0	0	0	NA	México	local	3404
4	2336.0	0	0	1	NA	Perú	local	3405
4	48.0	0	0	1	NA	México	local	3407
1	15	0	0	0	NA	Perú	all	3408
2	39.0	0	0	0	NA	Colombia	all	3409
3	90.0	0	0	0	NA	Colombia	all	3410
1	15	0	0	0	NA	México	local	3411
1	15	0	0	0	NA	Guatemala	local	3412
1	15	0	0	0	NA	México	local	3413
1	15	0	0	0	NA	Colombia	all	3414
1	15	0	0	0	NA	México	all	3416
1	15	0	0	0	NA	Perú	all	3417
16	1166.0	0	0	0	NA	México	local	3418
2	58.0	0	0	0	NA	Perú	local	3419
2	22.0	0	0	1	NA	Turquía	all	3420
1	15	0	0	0	NA	Nicaragua	local	3422
2	170.0	0	0	0	NA	Nicaragua	local	3423
1	15	0	0	0	NA	Colombia	all	3424
22	2062.0	1	0	2	NA	México	local	3425
3	133.0	0	0	0	NA	Argentina	all	3427
1	15	0	0	0	NA	Perú	all	3428
2	314.0	0	0	0	NA	Colombia	local	3429
2	337.0	0	0	0	NA	Ecuador	all	3430
5	35.0	0	0	1	NA	Perú	all	3431
5	627.0	0	0	0	NA	México	all	3432
1	15	0	0	0	NA	Perú	all	3433
4	37.0	0	0	0	NA	Perú	all	3434
12	905.0	0	0	0	NA	Argentina	local	3436
1	15	0	0	0	NA	Colombia	local	3437
3	102.0	0	0	0	NA	México	all	3439
1	15	0	0	0	NA	Bolivia	local	3440
23	792.0	1	0	7	NA	Ecuador	local	3441
1	15	0	0	0	NA	Venezuela	all	3442
1	15	0	0	0	NA	México	local	3443
2	1425.0	0	0	0	NA	México	local	3444
7	309.0	0	0	0	NA	Venezuela	local	3446
75	1271.0	0	0	2	NA	México	all	3447
1	15	0	0	0	NA	México	local	3448
15	2175.0	2	0	0	NA	Ecuador	local	3449
10	538.0	0	0	0	NA	Estados Unidos	local	3451
1	15	0	0	0	NA	Argentina	local	3452
1	15	0	0	0	NA	Colombia	local	3453
11	762.0	1	0	0	NA	Estados Unidos	local	3454
1	15	0	0	0	NA	México	all	3455
1	15	0	0	0	NA	México	local	3456
10	476.0	0	0	0	NA	Perú	local	3457
5	834.0	0	1	1	NA	México	all	3460
1	15	0	0	0	NA	Venezuela	all	3461
3	130.0	0	0	0	NA	Perú	all	3462
28	2403.0	2	1	1	NA	México	local	3465
3	250.0	0	0	0	NA	España	local	3467
1	15	0	0	0	NA	Venezuela	local	3469
5	653.0	0	0	1	NA	Colombia	local	3470
48	3016.0	0	6	6	NA	México	local	3472
11	346.0	0	3	0	NA	Estados Unidos	all	3473
1	15	0	0	0	NA	Venezuela	all	3474
4	605.0	1	0	0	NA	Costa Rica	all	3475
1	15	0	0	0	NA	México	all	3476
1	15	0	0	0	NA	México	local	3477
1	15	0	0	0	NA	México	local	3478
11	656.0	1	2	2	NA	Estados Unidos	all	3480
1	15	0	0	0	NA	México	local	3481
1	15	0	0	0	NA	Guatemala	all	3482
1	15	0	0	0	NA	México	all	3484
1	15	0	0	0	NA	Venezuela	all	3486
1	15	0	0	0	NA	Estados Unidos	all	3487
1	15	0	0	0	NA	México	local	3488
1	15	0	0	0	NA	México	all	3490
1	15	0	0	0	NA	México	local	3491
1	15	0	0	0	NA	México	all	3492
1	15	0	0	0	NA	México	local	3493
1	15	0	0	0	NA	México	all	3494
1	15	0	0	0	NA	México	local	3495
1	15	0	0	0	NA	México	all	3496
1	15	0	0	0	NA	México	all	3497
2	9.0	0	0	1	NA	México	local	3498
1	15	0	0	0	NA	Estados Unidos	all	3499
1	15	0	0	0	NA	México	local	3500
1	15	0	0	0	NA	México	all	3501
1	15	0	0	0	NA	México	all	3502
12	978.0	0	0	2	NA	Estados Unidos	local	3503
1	15	0	0	0	NA	Argentina	local	3505
1	15	0	0	0	NA	España	all	3507
1	15	0	0	0	NA	Japón	all	3508
1	15	0	0	0	NA	México	local	3509
3	27.0	0	0	0	NA	España	local	3510
21	1148.0	0	2	3	NA	España	local	3512
60	8450.0	0	0	0	NA	Argentina	all	3513
1	15	0	0	0	NA	Venezuela	all	3515
4	251.0	0	0	1	NA	Argentina	all	3516
2	235.0	0	0	0	NA	Argentina	local	3517
1	15	0	0	0	NA	Bolivia	all	3518
3	136.0	0	0	0	NA	Bolivia	all	3519
1	15	0	0	0	NA	España	all	3520
10	628.0	0	0	0	NA	España	all	3521
13	2225.0	0	0	0	NA	Perú	local	3522
1	15	0	0	0	NA	Bolivia	all	3523
1	15	0	0	0	NA	Bolivia	local	3524
1	15	0	0	0	NA	Colombia	all	3525
18	1061.0	0	2	4	NA	Bolivia	all	3526
1	15	0	0	0	NA	España	local	3527
1	15	0	0	0	NA	Bolivia	local	3528
1	15	0	0	0	NA	Bolivia	local	3529
4	168.0	0	0	0	NA	Perú	all	3531
1	15	0	0	0	NA	Colombia	local	3536
1	15	0	0	0	NA	Colombia	local	3537
3	147.0	0	0	0	NA	Perú	local	3540
4	378.0	0	0	0	NA	Perú	local	3541
1	15	0	0	0	NA	México	all	3542
2	38.0	0	0	0	NA	Venezuela	local	3543
1	15	0	0	0	NA	Venezuela	all	3545
1	15	0	0	0	NA	Honduras	local	3546
4	152.0	0	0	2	NA	México	local	3547
2	220.0	0	0	0	NA	España	all	3548
38	2878.0	0	0	0	NA	Perú	local	3549
1	15	0	0	0	NA	Venezuela	local	3550
1	15	0	0	0	NA	Argentina	all	3551
2	75.0	0	0	0	NA	Perú	all	3552
5	823.0	0	0	0	NA	República Dominicana	local	3553
1	15	0	0	0	NA	Colombia	local	3554
1	15	0	0	0	NA	Colombia	local	3555
3	99.0	0	0	0	NA	México	local	3556
4	55.0	0	0	0	NA	Perú	all	3557
1	15	0	0	0	NA	Perú	local	3558
1	15	0	0	0	NA	Colombia	all	3559
1	15	0	0	0	NA	México	local	3560
2	19.0	0	0	0	NA	Perú	all	3561
1	15	0	0	0	NA	México	local	3562
3	306.0	0	1	0	NA	México	local	3563
2	37.0	0	0	0	NA	Perú	all	3564
1	15	0	0	0	NA	España	all	3565
1	15	0	0	0	NA	Colombia	all	3566
31	967.0	0	0	1	NA	Canadá	local	3567
1	15	0	0	0	NA	Perú	all	3568
2	41.0	0	0	0	NA	España	local	3569
1	15	0	0	0	NA	México	all	3570
6	30.0	0	0	0	NA	Costa Rica	all	3571
2	19.0	0	0	1	NA	España	local	3572
4	233.0	0	0	1	NA	Colombia	local	3575
6	407.0	0	0	0	NA	España	all	3576
1	15	0	0	0	NA	España	local	3577
17	681.0	0	0	4	NA	Colombia	local	3578
14	1869.0	0	0	1	NA	Colombia	all	3579
5	838.0	0	0	0	NA	Colombia	local	3580
9	423.0	0	0	0	NA	Venezuela	local	3582
1	15	0	0	0	NA	México	all	3585
13	242.0	0	0	0	NA	Portugal	local	3586
1	15	0	0	0	NA	Guatemala	local	3587
10	581.0	0	2	0	NA	España	local	3589
86	3764.0	0	7	1	NA	Perú	local	3592
3	104.0	0	0	0	NA	México	local	3594
2	65.0	0	0	0	NA	Guatemala	all	3595
1	15	0	0	0	NA	Guatemala	all	3596
8	754.0	0	0	0	NA	México	all	3597
10	1057.0	0	0	0	NA	Perú	all	3599
2	223.0	0	0	0	NA	México	local	3600
14	1292.0	0	2	1	NA	Colombia	all	3601
1	15	0	0	0	NA	Argentina	local	3602
3	155.0	0	0	0	NA	Colombia	all	3604
1	15	0	0	0	NA	Colombia	all	3605
1	15	0	0	0	NA	Estados Unidos	local	3606
4	255.0	0	0	1	NA	Colombia	all	3607
1	15	0	0	0	NA	República Dominicana	local	3608
4	320.0	0	0	0	NA	Perú	local	3609
4	3372.0	0	0	0	NA	Uruguay	all	3610
1	15	0	0	0	NA	Colombia	all	3611
4	129.0	0	0	0	NA	Argentina	local	3613
62	2871.0	0	0	3	NA	Ecuador	all	3614
20	816.0	0	1	0	NA	Estados Unidos	local	3616
3	67.0	0	0	0	NA	Chile	local	3617
3	74.0	0	0	0	NA	Colombia	local	3619
2	47.0	0	0	0	NA	México	local	3621
1	15	0	0	0	NA	Ecuador	all	3623
1	15	0	0	0	NA	Colombia	all	3626
1	15	0	0	0	NA	Colombia	all	3627
1	15	0	0	0	NA	Estados Unidos	all	3628
1	15	0	0	0	NA	Colombia	all	3629
2	18.0	0	0	0	NA	Argentina	local	3630
1	15	0	0	0	NA	Argentina	all	3631
5	288.0	0	0	0	NA	Ecuador	local	3632
2	370.0	0	0	0	NA	Argentina	all	3633
1	15	0	0	0	NA	Venezuela	all	3634
1	15	0	0	0	NA	España	local	3635
1	15	0	0	0	NA	Perú	local	3636
1	15	0	0	0	NA	México	local	3637
1	15	0	0	0	NA	Colombia	local	3639
1	15	0	0	0	NA	Perú	local	3640
1	15	0	0	0	NA	México	local	3641
1	15	0	0	0	NA	Colombia	all	3642
56	9366.0	1	7	5	NA	Colombia	local	3643
42	2310.0	0	0	0	NA	México	all	3645
16	172.0	0	0	12	NA	España	all	3647
1	15	0	0	0	NA	Guatemala	local	3648
30	4166.0	1	3	1	NA	Colombia	all	3650
3	101.0	0	0	0	NA	Perú	all	3651
1	15	0	0	0	NA	México	local	3653
73	1552.0	0	0	1	NA	Colombia	local	3654
3	296.0	0	0	2	NA	Perú	all	3655
9	217.0	0	0	0	NA	Venezuela	all	3656
1	15	0	0	0	NA	Ecuador	all	3660
1	15	0	0	0	NA	España	all	3661
5	155.0	0	1	0	NA	Venezuela	all	3662
3	113.0	0	0	0	NA	España	all	3664
1	15	0	0	0	NA	Perú	all	3665
7	620.0	0	0	0	NA	Perú	local	3666
1	15	0	0	0	NA	Estados Unidos	local	3667
30	1518.0	0	0	0	NA	España	all	3668
1	15	0	0	0	NA	Perú	all	3669
1	15	0	0	0	NA	México	local	3670
1	15	0	0	0	NA	México	all	3671
3	118.0	0	0	0	NA	México	local	3672
1	15	0	0	0	NA	Colombia	local	3673
7	442.0	0	0	0	NA	Perú	local	3674
9	384.0	0	0	0	NA	España	all	3675
3	190.0	0	0	0	NA	México	all	3677
15	1492.0	0	0	1	NA	Perú	all	3678
14	1376.0	0	0	0	NA	Perú	all	3679
1	15	0	0	0	NA	Estados Unidos	local	3681
1	15	0	0	0	NA	Ecuador	all	3683
1	15	0	0	0	NA	México	local	3685
1	15	0	0	0	NA	Perú	local	3686
1	15	0	0	0	NA	México	all	3687
1	15	0	0	0	NA	México	local	3688
9	4270.0	1	0	0	NA	Guatemala	local	3689
90	8433.0	1	2	3	NA	México	local	3691
19	1025.0	0	3	6	NA	México	local	3692
2	19.0	0	0	0	NA	México	all	3693
15	5035.0	0	0	0	NA	Perú	local	3694
1	15	0	0	0	NA	Ecuador	all	3695
1	15	0	0	0	NA	México	all	3696
10	573.0	0	0	0	NA	México	all	3697
5	341.0	0	0	0	NA	Colombia	local	3698
1	15	0	0	0	NA	Perú	local	3701
2	178.0	0	0	0	NA	Bolivia	all	3703
9	336.0	0	0	0	NA	España	local	3704
1	15	0	0	0	NA	México	all	3705
2	19.0	0	0	0	NA	Colombia	all	3706
12	217.0	0	0	1	NA	Guatemala	all	3708
6	278.0	0	0	0	NA	Perú	local	3709
5	405.0	1	0	0	NA	Chile	all	3710
21	751.0	0	0	0	NA	México	all	3711
21	597.0	0	2	14	NA	Venezuela	local	3712
1	15	0	0	0	NA	Argentina	local	3713
2	98.0	0	0	0	NA	Colombia	local	3715
17	1415.0	0	0	0	NA	México	all	3716
1	15	0	0	0	NA	Chile	local	3718
2	78.0	0	0	0	NA	Perú	local	3720
1	15	0	0	0	NA	Argentina	all	3721
3	101.0	0	0	0	NA	Colombia	all	3722
1	15	0	0	0	NA	Colombia	local	3723
1	15	0	0	0	NA	Costa Rica	local	3726
3	55.0	0	0	0	NA	México	local	3727
106	3506.0	0	0	0	NA	México	all	3728
4	80.0	0	0	0	NA	Colombia	all	3729
9	218.0	0	0	0	NA	Uruguay	local	3731
1	15	0	0	0	NA	Ecuador	all	3732
1	15	0	0	0	NA	México	local	3733
1	15	0	0	0	NA	México	local	3734
1	15	0	0	0	NA	Colombia	all	3735
1	15	0	0	0	NA	México	local	3736
8	533.0	0	0	7	NA	México	local	3737
25	1116.0	0	6	8	NA	México	all	3739
1	15	0	0	0	NA	México	local	3740
1	15	0	0	0	NA	Puerto Rico	all	3741
1	15	0	0	0	NA	Bolivia	local	3742
2	15.0	0	0	0	NA	México	all	3743
1	15	0	0	0	NA	México	local	3744
21	4022.0	0	0	0	NA	Honduras	all	3746
1	15	0	0	0	NA	Perú	all	3748
1	15	0	0	0	NA	Honduras	local	3749
1	15	0	0	0	NA	Ecuador	local	3751
3	366.0	0	0	1	NA	México	all	3752
50	1640.0	0	0	0	NA	México	local	3755
5	120.0	0	0	1	NA	Estados Unidos	local	3758
3	29.0	0	0	1	NA	El Salvador	all	3759
1	15	0	0	0	NA	Colombia	local	3760
1	15	0	0	0	NA	México	local	3761
3	100.0	0	0	0	NA	México	all	3766
2	21.0	0	0	0	NA	Ecuador	all	3767
9	205.0	0	0	0	NA	México	all	3768
1	15	0	0	0	NA	Ecuador	local	3769
1	15	0	0	0	NA	Argentina	local	3770
5	79.0	0	0	1	NA	México	local	3772
3	116.0	0	0	0	NA	México	all	3774
3	231.0	1	0	0	NA	Turquía	local	3775
1	15	0	0	0	NA	República Dominicana	all	3776
1	15	0	0	0	NA	Perú	local	3777
1	15	0	0	0	NA	Perú	all	3778
3	46.0	0	0	0	NA	México	all	3779
17	515.0	0	0	0	NA	México	all	3780
10	580.0	0	0	0	NA	Argentina	local	3782
1	15	0	0	0	NA	Costa Rica	local	3783
1	15	0	0	0	NA	México	local	3784
1	15	0	0	0	NA	México	all	3785
1	15	0	0	0	NA	Bolivia	local	3786
1	15	0	0	0	NA	Argentina	local	3787
8	858.0	0	0	0	NA	Colombia	all	3789
3	105.0	0	0	0	NA	Colombia	local	3790
1	15	0	0	0	NA	México	local	3791
3	56.0	0	0	0	NA	México	all	3792
1	15	0	0	0	NA	Venezuela	all	3793
5	894.0	0	0	0	NA	México	local	3794
1	15	0	0	0	NA	México	local	3795
1	15	0	0	0	NA	Perú	local	3796
1	15	0	0	0	NA	Perú	local	3798
1	15	0	0	0	NA	Perú	local	3800
1	15	0	0	0	NA	Puerto Rico	all	3801
4	109.0	0	0	1	NA	Estados Unidos	local	3802
1	15	0	0	0	NA	Honduras	all	3803
2	121.0	0	0	0	NA	Honduras	local	3804
1	15	0	0	0	NA	México	all	3805
43	3749.0	0	1	1	NA	Colombia	all	3806
24	1962.0	0	0	1	NA	México	all	3808
2	50.0	0	0	0	NA	Paraguay	all	3809
1	15	0	0	0	NA	Colombia	local	3810
12	491.0	0	2	1	NA	Perú	local	3812
4	174.0	0	0	0	NA	México	all	3813
3	100.0	0	0	0	NA	Argentina	local	3814
17	1379.0	1	0	0	NA	Colombia	local	3815
1	15	0	0	0	NA	Perú	all	3816
1	15	0	0	0	NA	Perú	all	3817
1	15	0	0	0	NA	Colombia	local	3820
16	697.0	0	0	0	NA	México	all	3821
1	15	0	0	0	NA	México	local	3822
2	27.0	0	0	0	NA	México	local	3823
1	15	0	0	0	NA	Ecuador	local	3824
7	621.0	0	0	0	NA	México	all	3825
1	15	0	0	0	NA	Argentina	all	3826
1	15	0	0	0	NA	México	local	3827
23	1684.0	1	2	3	NA	México	local	3828
2	21.0	0	0	0	NA	Guatemala	all	3831
2	97.0	0	0	0	NA	Estados Unidos	all	3833
1	15	0	0	0	NA	Ecuador	all	3835
3	13.0	0	0	0	NA	España	all	3837
1	15	0	0	0	NA	España	all	3839
1	15	0	0	0	NA	Colombia	all	3842
3	119.0	0	0	0	NA	España	all	3844
15	4210.0	0	2	1	NA	España	all	3846
1	15	0	0	0	NA	Estados Unidos	all	3847
95	9663.0	0	5	2	NA	España	local	3848
1	15	0	0	0	NA	Argentina	local	3849
2	22.0	0	0	0	NA	Argentina	local	3850
1	15	0	0	0	NA	España	local	3853
11	2978.0	0	0	0	NA	Perú	all	3854
33	2320.0	0	3	2	NA	Bolivia	all	3855
1	15	0	0	0	NA	México	all	3856
1	15	0	0	0	NA	Colombia	local	3857
19	703.0	0	0	0	NA	Estados Unidos	local	3859
3	127.0	0	0	0	NA	Argentina	all	3860
1	15	0	0	0	NA	Perú	all	3861
1	15	0	0	0	NA	Ecuador	local	3862
3	32.0	0	0	0	NA	Ecuador	all	3863
1	15	0	0	0	NA	Colombia	local	3864
2	29.0	0	0	0	NA	Colombia	local	3865
23	3640.0	0	3	4	NA	Venezuela	local	3869
1	15	0	0	0	NA	México	local	3870
1	15	0	0	0	NA	México	local	3871
1	15	0	0	0	NA	Colombia	local	3873
34	1259.0	0	2	1	NA	Bolivia	all	3875
2	42.0	0	0	0	NA	México	local	3877
3	685.0	0	1	0	NA	España	local	3879
7	54.0	0	0	0	NA	México	local	3880
4	71.0	0	0	0	NA	Colombia	all	3882
1	15	0	0	0	NA	Estados Unidos	all	3883
1	15	0	0	0	NA	México	local	3884
9	285.0	0	0	0	NA	México	local	3888
2	18.0	0	0	0	NA	Colombia	local	3889
1	15	0	0	0	NA	México	all	3890
3	141.0	0	0	0	NA	México	local	3893
45	4577.0	0	11	13	NA	México	all	3894
1	15	0	0	0	NA	Colombia	local	3896
14	343.0	0	2	3	NA	Venezuela	all	3897
4	43.0	0	0	1	NA	Venezuela	all	3898
24	663.0	0	2	0	NA	México	all	3899
5	134.0	0	0	0	NA	Italia	local	3900
7	65.0	0	0	0	NA	México	local	3901
4	54.0	0	0	0	NA	México	all	3905
64	2122.0	0	10	0	NA	España	all	3906
2	31.0	0	0	0	NA	Argentina	all	3908
2	5.0	0	0	0	NA	Bolivia	local	3910
1	15	0	0	0	NA	Colombia	all	3911
68	1997.0	0	1	3	NA	Colombia	local	3913
4	38.0	0	0	0	NA	Colombia	all	3914
1	15	0	0	0	NA	Estados Unidos	all	3915
7	1344.0	0	0	0	NA	México	local	3917
24	1124.0	1	0	5	NA	Colombia	all	3918
1	15	0	0	0	NA	México	local	3919
1	15	0	0	0	NA	Colombia	local	3921
3	4418.0	0	0	0	NA	Perú	local	3922
2	71.0	0	0	0	NA	Bolivia	all	3923
1	15	0	0	0	NA	México	all	3926
7	655.0	1	0	0	NA	Chile	all	3928
5	90.0	0	0	0	NA	Colombia	local	3929
1	15	0	0	0	NA	Perú	local	3930
48	3916.0	1	1	2	NA	México	all	3931
31	1900.0	0	0	1	NA	México	all	3933
3	155.0	0	0	0	NA	Argentina	all	3934
1	15	0	0	0	NA	Perú	local	3935
19	2006.0	1	0	0	NA	Perú	local	3936
21	1648.0	1	2	3	NA	México	all	3937
1	15	0	0	0	NA	Argentina	all	3938
1	15	0	0	0	NA	Estados Unidos	all	3939
1	15	0	0	0	NA	Estados Unidos	all	3940
1	15	0	0	0	NA	México	all	3947
7	399.0	0	0	0	NA	Canadá	local	3949
3	31.0	0	0	0	NA	México	all	3953
2	13.0	0	0	0	NA	México	local	3956
1	15	0	0	0	NA	Estados Unidos	all	3959
1	15	0	0	0	NA	México	all	3961
1	15	0	0	0	NA	Rusia	all	3962
1	15	0	0	0	NA	España	all	3963
3	56.0	0	0	0	NA	Reino Unido	all	3965
3	150.0	0	0	0	NA	España	all	3967
1	15	0	0	0	NA	Ecuador	local	3969
5	425.0	0	0	0	NA	Colombia	all	3970
6	790.0	1	0	0	NA	Chile	local	3972
6	138.0	0	0	1	NA	Colombia	local	3973
1	15	0	0	0	NA	Paraguay	all	3975
1	15	0	0	0	NA	Venezuela	local	3976
1	15	0	0	0	NA	España	local	3978
2	321.0	0	0	0	NA	España	all	3979
4	36.0	0	0	0	NA	México	local	3980
3	49.0	0	0	0	NA	Chile	all	3981
25	1417.0	0	0	0	NA	España	all	3982
4	193.0	0	0	0	NA	España	local	3983
6	243.0	0	0	0	NA	España	all	3984
19	818.0	0	1	2	NA	Guatemala	local	3985
10	452.0	0	0	2	NA	Perú	all	3986
1	15	0	0	0	NA	México	all	3987
8	506.0	0	1	3	NA	Chile	local	3990
1	15	0	0	0	NA	Estados Unidos	all	3991
4	230.0	0	0	0	NA	México	all	3993
2	86.0	0	0	0	NA	Bolivia	local	3996
1	15	0	0	0	NA	Colombia	all	3997
5	827.0	1	0	0	NA	Costa Rica	all	3998
5	203.0	0	0	0	NA	Estados Unidos	all	3999
5	591.0	1	0	0	NA	Costa Rica	all	4000
10	409.0	1	0	2	NA	Colombia	all	4003
2	14.0	0	0	0	NA	México	all	4004
1	15	0	0	0	NA	México	all	4006
1	15	0	0	0	NA	México	local	4007
8	220.0	0	0	0	NA	Estados Unidos	all	4008
3	188.0	0	0	0	NA	Argentina	all	4009
6	157.0	0	0	1	NA	Argentina	all	4010
24	937.0	0	0	0	NA	México	local	4013
13	577.0	0	0	1	NA	México	local	4015
5	413.0	0	0	0	NA	México	all	4017
5	306.0	0	0	0	NA	México	all	4018
2	92.0	0	0	0	NA	Colombia	all	4020
26	860.0	0	1	0	NA	Colombia	local	4022
10	85.0	0	0	9	NA	Colombia	all	4024
3	2180.0	0	0	0	NA	México	all	4026
2	7.0	0	0	0	NA	Argentina	all	4028
6	121.0	0	0	1	NA	México	local	4030
6	150.0	0	0	0	NA	Costa Rica	local	4033
2	16.0	0	0	0	NA	El Salvador	local	4037
1	15	0	0	0	NA	Israel	all	4040
1	15	0	0	0	NA	Turquía	all	4041
