pageviews	time_on_page	stories	comments	ratings	newsletters	nationality	manipulation_level	visitor_session_id
51	2497.0	1	2	6	NA	México	all	2688
1	15	0	0	0	NA	Colombia	all	2689
1	15	0	0	0	NA	Perú	local	2690
1	15	0	0	0	NA	Ecuador	local	2691
23	1362.0	1	5	5	NA	Guatemala	all	2692
5	1182.0	0	0	0	NA	Bolivia	all	2693
6	43.0	0	0	0	NA	México	local	2695
1	15	0	0	0	NA	Perú	all	2696
3	131.0	0	0	0	NA	España	local	2697
3	129.0	0	0	0	NA	Perú	local	2699
4	88.0	0	0	0	NA	Bolivia	all	2700
6	56.0	0	0	0	NA	Perú	local	2701
21	603.0	1	0	0	NA	México	all	2702
1	15	0	0	0	NA	Venezuela	all	2703
40	2430.0	0	0	0	NA	Perú	local	2704
1	15	0	0	0	NA	México	all	2705
1	15	0	0	0	NA	Colombia	all	2706
1	15	0	0	0	NA	México	local	2707
38	1182.0	0	0	0	NA	México	local	2708
24	1413.0	0	0	0	NA	México	local	2709
1	15	0	0	0	NA	Colombia	all	2710
1	15	0	0	0	NA	Colombia	local	2711
29	1602.0	1	3	3	NA	México	local	2712
32	2464.0	0	0	0	NA	Argentina	all	2713
1	15	0	0	0	NA	México	all	2714
21	1398.0	0	4	0	NA	México	local	2715
21	1142.0	0	0	2	NA	México	all	2716
2	19.0	0	0	0	NA	Colombia	all	2719
6	61.0	0	0	1	NA	México	all	2720
1	15	0	0	0	NA	Paraguay	local	2722
5	392.0	0	0	1	NA	México	all	2724
1	15	0	0	0	NA	Ecuador	all	2726
15	647.0	0	0	1	NA	México	local	2728
1	15	0	0	0	NA	México	local	2729
3	466.0	1	0	0	NA	Turquía	all	2731
1	15	0	0	0	NA	Colombia	local	2732
5	616.0	0	0	0	NA	Colombia	local	2733
4	308.0	0	0	0	NA	Perú	all	2734
1	15	0	0	0	NA	Argentina	all	2735
22	3852.0	0	0	0	NA	Perú	local	2736
1	15	0	0	1	NA	Venezuela	all	2738
4	192.0	0	0	1	NA	Perú	all	2739
15	597.0	0	1	1	NA	Perú	all	2740
11	1286.0	0	1	0	NA	Puerto Rico	local	2742
23	612.0	1	1	0	NA	Colombia	local	2744
3	72.0	0	0	0	NA	Ecuador	all	2745
1	15	0	0	0	NA	Ecuador	all	2746
1	15	0	0	0	NA	Colombia	local	2748
1	15	0	0	0	NA	Estados Unidos	all	2749
4	162.0	0	0	0	NA	Perú	local	2751
2	99.0	0	0	0	NA	México	all	2752
1	15	0	0	0	NA	México	all	2753
1	15	0	0	0	NA	Guatemala	local	2754
1	15	0	0	0	NA	Estados Unidos	all	2755
7	91.0	0	0	0	NA	México	all	2756
2	74.0	0	0	0	NA	México	all	2758
1	15	0	0	0	NA	El Salvador	all	2759
4	1479.0	0	0	0	NA	Perú	local	2761
1	15	0	0	0	NA	México	local	2762
1	15	0	0	0	NA	México	all	2763
1	15	0	0	0	NA	Perú	all	2764
3	63.0	0	0	0	NA	Colombia	all	2768
1	15	0	0	0	NA	Chile	local	2770
1	15	0	0	0	NA	México	local	2771
11	358.0	0	0	0	NA	Venezuela	all	2772
4	398.0	0	0	0	NA	Perú	all	2773
1	15	0	0	0	NA	México	local	2774
2	11.0	0	0	0	NA	Colombia	all	2776
1	15	0	0	0	NA	México	all	2777
6	1152.0	0	0	0	NA	México	local	2778
3	94.0	0	0	0	NA	México	all	2782
1	15	0	0	0	NA	Costa Rica	all	2783
55	1967.0	0	0	2	NA	Estados Unidos	all	2785
3	71.0	0	0	0	NA	Perú	all	2787
2	27.0	0	0	0	NA	Colombia	local	2788
32	3578.0	0	0	0	NA	México	all	2789
9	367.0	0	0	1	NA	Japón	all	2790
1	15	0	0	0	NA	Perú	all	2792
23	1375.0	0	0	0	NA	México	all	2793
2	26.0	0	0	0	NA	Argentina	local	2794
1	15	0	0	0	NA	Colombia	all	2795
1	15	0	0	0	NA	Estados Unidos	local	2796
1	15	0	0	0	NA	Perú	all	2797
1	15	0	0	0	NA	Ecuador	all	2798
1	15	0	0	0	NA	Colombia	local	2799
2	31.0	0	0	0	NA	Guatemala	local	2800
26	1409.0	1	1	5	NA	México	local	2801
1	15	0	0	0	NA	México	local	2802
2	66.0	0	0	0	NA	Guatemala	all	2803
2	104.0	0	0	0	NA	México	local	2805
1	15	0	0	0	NA	Estados Unidos	local	2806
4	40.0	0	0	0	NA	España	all	2807
1	15	0	0	0	NA	Honduras	local	2809
1	15	0	0	0	NA	Argentina	all	2810
